task,model_name,shots,acc,random_acc,n_targets,rel_acc_improvement,acc_improvement
intent_recognition,128b,3,0.8614718614718615,0.14285714285714282,7.0,0.8383838383838385,0.7186147186147187
entailed_polarity,128b,3,0.8378378378378378,0.5,2.0,0.6756756756756757,0.33783783783783783
similarities_abstraction,128b,3,0.7631578947368421,0.24210526315789477,4.171052631578948,0.6875000000000001,0.5210526315789474
cause_and_effect,128b,3,0.7189542483660131,0.5,2.0,0.43790849673202614,0.21895424836601307
general_knowledge,128b,3,0.7142857142857143,0.14316393923536777,7.571428571428571,0.6665473142443176,0.5711217750503466
fact_checker,128b,3,0.7063106796116505,0.5,2.0,0.412621359223301,0.2063106796116505
bbq_lite_json,128b,3,0.7053571428571429,0.33333333333333326,3.0,0.5580357142857144,0.37202380952380965
implicatures,128b,3,0.6849593495934959,0.5,2.0,0.36991869918699183,0.18495934959349591
unit_conversion,128b,3,0.6765625,0.22666666666666666,4.6,0.5817618534482758,0.4498958333333333
human_organs_senses,128b,3,0.6666666666666666,0.25,4.0,0.5555555555555555,0.41666666666666663
sentence_ambiguity,128b,3,0.6666666666666666,0.5,2.0,0.33333333333333326,0.16666666666666663
fantasy_reasoning,128b,3,0.6567164179104478,0.5,2.0,0.31343283582089554,0.15671641791044777
irony_identification,128b,3,0.6464646464646465,0.5,2.0,0.29292929292929304,0.14646464646464652
simple_ethical_questions,128b,3,0.6434782608695652,0.25,4.0,0.5246376811594202,0.39347826086956517
misconceptions,128b,3,0.6164383561643836,0.5,2.0,0.23287671232876717,0.11643835616438358
strategyqa,128b,3,0.6083984375,0.5,2.0,0.216796875,0.1083984375
strange_stories,128b,3,0.6063218390804598,0.3261494252873563,3.3908045977011496,0.4157782515991471,0.2801724137931035
hindu_knowledge,128b,3,0.6057142857142858,0.24809523809523812,4.04,0.4756174794173528,0.3576190476190476
undo_permutation,128b,3,0.6033333333333334,0.14981481481481482,7.013333333333334,0.5334349814855152,0.45351851851851854
cryobiology_spanish,128b,3,0.6027397260273972,0.5,2.0,0.20547945205479445,0.10273972602739723
sports_understanding,128b,3,0.5993914807302231,0.5,2.0,0.19878296146044616,0.09939148073022308
hinglish_toxicity,128b,3,0.595,0.5,2.0,0.18999999999999995,0.09499999999999997
winowhy,128b,3,0.58203125,0.5,2.0,0.1640625,0.08203125
nonsense_words_grammar,128b,3,0.56,0.21929365079365076,4.92,0.4364078114039993,0.3407063492063493
metaphor_boolean,128b,3,0.5588235294117647,0.5,2.0,0.11764705882352944,0.05882352941176472
riddle_sense,128b,3,0.5510204081632653,0.19999999999999998,5.0,0.4387755102040816,0.3510204081632653
mathematical_induction,128b,3,0.5507246376811594,0.5,2.0,0.10144927536231885,0.050724637681159424
dark_humor_detection,128b,3,0.55,0.5,2.0,0.10000000000000009,0.050000000000000044
multiemo,128b,3,0.5484848484848485,0.25,4.0,0.39797979797979793,0.29848484848484846
physics,128b,3,0.537117903930131,0.25109170305676853,3.986899563318777,0.38192419825072893,0.2860262008733625
play_dialog_same_or_different,128b,3,0.5341796875,0.5,2.0,0.068359375,0.0341796875
hyperbaton,128b,3,0.53125,0.5,2.0,0.0625,0.03125
causal_judgment,128b,3,0.5263157894736842,0.5,2.0,0.05263157894736836,0.02631578947368418
anachronisms,128b,3,0.5260869565217391,0.5,2.0,0.05217391304347818,0.02608695652173909
logical_fallacy_detection,128b,3,0.5234375,0.5,2.0,0.046875,0.0234375
metaphor_understanding,128b,3,0.5128205128205128,0.25,4.0,0.35042735042735035,0.2628205128205128
formal_fallacies_syllogisms_negation,128b,3,0.5068359375,0.5,2.0,0.013671875,0.0068359375
authorship_verification,128b,3,0.5034090909090909,0.5,2.0,0.006818181818181834,0.003409090909090917
movie_dialog_same_or_different,128b,3,0.5009765625,0.5,2.0,0.001953125,0.0009765625
entailed_polarity_hindi,128b,3,0.5,0.5,2.0,0.0,0.0
analytic_entailment,128b,3,0.5,0.5,2.0,0.0,0.0
logical_args,128b,3,0.5,0.2,5.0,0.37499999999999994,0.3
navigate,128b,3,0.498,0.5,2.0,-0.0040000000000000036,-0.0020000000000000018
physical_intuition,128b,3,0.49382716049382713,0.25493827160493826,4.0,0.3206296603148301,0.23888888888888887
moral_permissibility,128b,3,0.4824561403508772,0.5,2.0,-0.03508771929824561,-0.017543859649122806
known_unknowns,128b,3,0.4782608695652174,0.5,2.0,-0.04347826086956519,-0.021739130434782594
what_is_the_tao,128b,3,0.4722222222222222,0.5,2.0,-0.05555555555555558,-0.02777777777777779
empirical_judgments,128b,3,0.45454545454545453,0.3333333333333334,3.0,0.18181818181818168,0.1212121212121211
hhh_alignment,128b,3,0.45248868778280543,0.5,2.0,-0.09502262443438914,-0.04751131221719457
social_iqa,128b,3,0.451171875,0.33365885416666663,2.998046875,0.1763556424035174,0.11751302083333337
crash_blossom,128b,3,0.4473684210526316,0.25,4.0,0.2631578947368421,0.19736842105263158
date_understanding,128b,3,0.44715447154471544,0.1726287262872629,5.821138211382114,0.3318047821814608,0.27452574525745255
key_value_maps,128b,3,0.44554455445544555,0.5,2.0,-0.1089108910891089,-0.05445544554455445
emojis_emotion_prediction,128b,3,0.4399236641221374,0.125,8.0,0.3599127589967285,0.3149236641221374
goal_step_wikihow,128b,3,0.4398826979472141,0.33328445747800584,3.334310850439883,0.1598856388827799,0.10659824046920824
novel_concepts,128b,3,0.4375,0.19375,5.3125,0.3023255813953488,0.24375
cs_algorithms,128b,3,0.4230769230769231,0.34615384615384615,5.076923076923077,0.11764705882352941,0.07692307692307693
common_morpheme,128b,3,0.42,0.25,4.0,0.22666666666666666,0.16999999999999998
phrase_relatedness,128b,3,0.42,0.25,4.0,0.22666666666666666,0.16999999999999998
snarks,128b,3,0.4198895027624309,0.5,2.0,-0.16022099447513816,-0.08011049723756908
conceptual_combinations,128b,3,0.4174757281553398,0.25,4.0,0.2233009708737864,0.1674757281553398
question_selection,128b,3,0.4111328125,0.40072118365575393,2.990234375,0.017373597331138226,0.010411628844246068
penguins_in_a_table,128b,3,0.40268456375838924,0.2003355704697986,4.993288590604027,0.2530423835501469,0.20234899328859063
international_phonetic_alphabet_nli,128b,3,0.3968253968253968,0.33333333333333337,3.0,0.09523809523809515,0.06349206349206343
reasoning_about_colored_objects,128b,3,0.396484375,0.10429888101073762,18.40234375,0.3262086959531476,0.2921854939892624
timedial,128b,3,0.396484375,0.33333333333333326,3.0,0.0947265625000001,0.06315104166666674
epistemic_reasoning,128b,3,0.3916015625,0.5,2.0,-0.216796875,-0.1083984375
figure_of_speech_detection,128b,3,0.3898305084745763,0.09999999999999998,10.0,0.3220338983050848,0.2898305084745763
english_proverbs,128b,3,0.38235294117647056,0.2441176470588235,4.147058823529412,0.18287937743190663,0.13823529411764707
swedish_to_german_proverbs,128b,3,0.36666666666666664,0.25,4.0,0.15555555555555553,0.11666666666666664
disambiguation_qa,128b,3,0.3643410852713178,0.3323643410852713,3.011627906976744,0.0478955007256894,0.03197674418604651
swahili_english_proverbs,128b,3,0.35947712418300654,0.25,4.0,0.14596949891067537,0.10947712418300654
emoji_movie,128b,3,0.35,0.19999999999999996,5.0,0.18750000000000003,0.15000000000000002
suicide_risk,128b,3,0.35,0.25,4.0,0.1333333333333333,0.09999999999999998
abstract_narrative_understanding,128b,3,0.3489736070381232,0.10333333333333333,38.333333333333336,0.2739482606373121,0.24564027370478986
temporal_sequences,128b,3,0.346,0.25,4.0,0.12799999999999997,0.09599999999999997
implicit_relations,128b,3,0.3176470588235294,0.04,25.0,0.28921568627450983,0.2776470588235294
logic_grid_puzzle,128b,3,0.312,0.31089999999999995,3.59,0.0015962850094326589,0.0011000000000000454
logical_deduction,128b,3,0.31160896130346233,0.22089031131800985,5.083503054989817,0.11643886772723884,0.09071864998545248
misconceptions_russian,128b,3,0.30612244897959184,0.5,2.0,-0.3877551020408163,-0.19387755102040816
identify_math_theorems,128b,3,0.3018867924528302,0.2490566037735849,4.018867924528302,0.07035175879396983,0.05283018867924527
ruin_names,128b,3,0.29910714285714285,0.2501860119047619,3.997767857142857,0.06524435623914658,0.04892113095238093
movie_recommendation,128b,3,0.292,0.25,4.0,0.05599999999999997,0.04199999999999998
gre_reading_comprehension,128b,3,0.2903225806451613,0.23010752688172048,4.548387096774194,0.07821229050279327,0.06021505376344083
code_line_description,128b,3,0.2833333333333333,0.24833333333333332,4.033333333333333,0.04656319290465632,0.035
unit_interpretation,128b,3,0.28,0.19999999999999996,5.0,0.10000000000000009,0.08000000000000007
which_wiki_edit,128b,3,0.26444833625218916,0.25,4.0,0.01926444833625222,0.014448336252189165
logical_sequence,128b,3,0.2564102564102564,0.25427350427350426,3.948717948717949,0.0028653295128939727,0.002136752136752129
understanding_fables,128b,3,0.24867724867724866,0.19999999999999998,5.0,0.06084656084656085,0.04867724867724868
english_russian_proverbs,128b,3,0.2375,0.25,4.0,-0.01666666666666668,-0.012500000000000011
crass_ai,128b,3,0.22727272727272727,0.25,4.0,-0.030303030303030314,-0.022727272727272735
tracking_shuffled_objects,128b,3,0.22678396871945258,0.22539682539682535,5.0,0.0017907792894572947,0.0013871433226272378
parsinlu_qa,128b,3,0.2265625,0.25048828125,3.994140625,-0.031921824104234525,-0.02392578125
real_or_fake_text,128b,3,0.22209188660801565,0.1000570218312154,9.995112414467252,0.13560288566851017,0.12203486477680026
odd_one_out,128b,3,0.22093023255813954,0.2062015503875969,4.953488372093023,0.01855468749999999,0.014728682170542629
evaluating_information_essentiality,128b,3,0.22058823529411764,0.19999999999999996,5.0,0.025735294117647106,0.020588235294117685
presuppositions_as_nli,128b,3,0.21904761904761905,0.33333333333333337,3.0,-0.17142857142857149,-0.11428571428571432
salient_translation_error_detection,128b,3,0.21743486973947895,0.16666666666666666,6.0,0.06092184368737475,0.050768203072812296
elementary_math_qa,128b,3,0.21470588235294116,0.19975023342670403,5.018627450980392,0.01868872638386121,0.01495564892623713
persian_idioms,128b,3,0.21212121212121213,0.25,4.0,-0.0505050505050505,-0.03787878787878787
kannada,128b,3,0.2088607594936709,0.2536919831223629,3.9556962025316458,-0.060070671378091925,-0.04483122362869202
minute_mysteries_qa,128b,3,0.20689655172413793,0.24195402298850574,4.167487684729064,-0.046247156937073534,-0.03505747126436781
arithmetic,128b,3,0.203125,0.5741719470046083,3.889616935483871,-0.8713539288794195,-0.3710469470046083
identify_odd_metaphor,128b,3,0.19148936170212766,0.23404255319148928,4.319148936170213,-0.05555555555555545,-0.042553191489361625
analogical_similarity,128b,3,0.17956656346749225,0.1428571428571428,7.0,0.04282765737874103,0.03670942061034946
symbol_interpretation,128b,3,0.17676767676767677,0.20000000000000004,5.0,-0.029040404040404092,-0.02323232323232327
kanji_ascii,128b,3,0.1702127659574468,0.19999999999999998,5.0,-0.037234042553191474,-0.02978723404255318
dyck_languages,128b,3,0.169,0.01190476190476191,84.0,0.1589879518072289,0.1570952380952381
intersect_geometry,128b,3,0.14901960784313725,0.02439024390243903,41.0,0.1277450980392157,0.12462936394069822
social_support,128b,3,0.13935340022296544,0.3333333333333333,3.0,-0.29096989966555176,-0.19397993311036787
vitaminc_fact_verification,128b,3,0.134765625,0.33333333333333326,3.0,-0.29785156249999983,-0.19856770833333326
geometric_shapes,128b,3,0.11977715877437325,0.09817675360850847,10.200557103064067,0.023951927666863233,0.021600405165864783
language_identification,128b,3,0.115234375,0.0909090909090909,11.0,0.026757812500000012,0.024325284090909102
mnist_ascii,128b,3,0.111328125,0.10000000000000002,10.0,0.012586805555555533,0.01132812499999998
discourse_marker_prediction,128b,3,0.10968494749124855,0.10000000000000002,10.0,0.01076105276805392,0.009684947491248527
cifar10_classification,128b,3,0.1005859375,0.10000000000000002,10.0,0.0006510416666666451,0.0005859374999999806
color,128b,3,0.0947265625,0.10000000000000002,10.0,-0.005859375000000022,-0.005273437500000019
checkmate_in_one,128b,3,0.0078125,0.02826020918651915,38.4814453125,-0.021042370992548923,-0.02044770918651915
