value,assessor_size,size,metric
0.5146158933639526,small,2m,loss
0.5176198482513428,small,16m,loss
0.5001881122589111,small,53m,loss
0.5073710680007935,small,125m,loss
0.5150243639945984,small,244m,loss
0.5197134017944336,small,422m,loss
0.5106029510498047,small,1b,loss
0.5163177847862244,small,2b,loss
0.5352202653884888,small,4b,loss
0.5308962464332581,small,8b,loss
0.5210988521575928,small,27b,loss
0.5293591618537903,small,128b,loss
0.7705419295935361,small,2m,roc_auc
0.7574009515372749,small,16m,roc_auc
0.7720059031951486,small,53m,roc_auc
0.7669771604038937,small,125m,roc_auc
0.7591249064713234,small,244m,roc_auc
0.7672047597760279,small,422m,roc_auc
0.7696912006338416,small,1b,roc_auc
0.7775918015287538,small,2b,roc_auc
0.7470942987206489,small,4b,roc_auc
0.7549055440372888,small,8b,roc_auc
0.7683670453740652,small,27b,roc_auc
0.7752052894525701,small,128b,roc_auc
0.5011216343447092,small,2m,roc_auc-absolute-self
0.4759097778537209,small,16m,roc_auc-absolute-self
0.468595492170044,small,53m,roc_auc-absolute-self
0.4601594998589919,small,125m,roc_auc-absolute-self
0.4790569319340869,small,244m,roc_auc-absolute-self
0.4851501344381004,small,422m,roc_auc-absolute-self
0.471797944343455,small,1b,roc_auc-absolute-self
0.445550604257972,small,2b,roc_auc-absolute-self
0.4908407350951504,small,4b,roc_auc-absolute-self
0.4686668720956842,small,8b,roc_auc-absolute-self
0.4817142766815767,small,27b,roc_auc-absolute-self
0.4865792106036955,small,128b,roc_auc-absolute-self
0.5657479964240099,small,2m,roc_auc-normalised-self
0.6259475717407685,small,16m,roc_auc-normalised-self
0.6314662827339648,small,53m,roc_auc-normalised-self
0.6271327272192784,small,125m,roc_auc-normalised-self
0.6323998485680623,small,244m,roc_auc-normalised-self
0.6284988716147961,small,422m,roc_auc-normalised-self
0.6133086651202246,small,1b,roc_auc-normalised-self
0.6411329359920831,small,2b,roc_auc-normalised-self
0.6052243166376258,small,4b,roc_auc-normalised-self
0.6450809525127099,small,8b,roc_auc-normalised-self
0.6297261132055706,small,27b,roc_auc-normalised-self
0.6124113740848466,small,128b,roc_auc-normalised-self
0.7232175280532313,small,2m,roc_auc-task-static
0.7238197782864692,small,16m,roc_auc-task-static
0.7137725210838768,small,53m,roc_auc-task-static
0.7136759800385519,small,125m,roc_auc-task-static
0.7107813647181446,small,244m,roc_auc-task-static
0.7206443000443947,small,422m,roc_auc-task-static
0.7087186304029087,small,1b,roc_auc-task-static
0.7237709373728569,small,2b,roc_auc-task-static
0.6967979897417771,small,4b,roc_auc-task-static
0.7078248157149573,small,8b,roc_auc-task-static
0.7137115920851594,small,27b,roc_auc-task-static
0.7163531782595858,small,128b,roc_auc-task-static
0.0036079452500153,small,2m,bs_mcb
0.0013558280444646,small,16m,bs_mcb
0.002785376317756,small,53m,bs_mcb
0.0055349279654734,small,125m,bs_mcb
0.0021023217826711,small,244m,bs_mcb
0.0017673574016449,small,422m,bs_mcb
0.0024232169979495,small,1b,bs_mcb
0.0024729129440383,small,2b,bs_mcb
0.0023606128873331,small,4b,bs_mcb
0.0055179718918386,small,8b,bs_mcb
0.0036961719141779,small,27b,bs_mcb
0.0054228457276667,small,128b,bs_mcb
0.0976049722931169,small,2m,bs_mcb-absolute-self
0.0858385158759406,small,16m,bs_mcb-absolute-self
0.0798030299709807,small,53m,bs_mcb-absolute-self
0.0804312135247956,small,125m,bs_mcb-absolute-self
0.0849154631288939,small,244m,bs_mcb-absolute-self
0.0952043603607827,small,422m,bs_mcb-absolute-self
0.0869936711866404,small,1b,bs_mcb-absolute-self
0.0975942442117129,small,2b,bs_mcb-absolute-self
0.0834802641787802,small,4b,bs_mcb-absolute-self
0.0815867407428974,small,8b,bs_mcb-absolute-self
0.0779506157992458,small,27b,bs_mcb-absolute-self
0.0828357661226028,small,128b,bs_mcb-absolute-self
0.1877462086314121,small,2m,bs_mcb-normalised-self
0.117699681215713,small,16m,bs_mcb-normalised-self
0.1118331392631485,small,53m,bs_mcb-normalised-self
0.1185887728348425,small,125m,bs_mcb-normalised-self
0.1040762313173954,small,244m,bs_mcb-normalised-self
0.0943987422239938,small,422m,bs_mcb-normalised-self
0.0952539243581137,small,1b,bs_mcb-normalised-self
0.0812878591531372,small,2b,bs_mcb-normalised-self
0.0959697084690252,small,4b,bs_mcb-normalised-self
0.0938872990301286,small,8b,bs_mcb-normalised-self
0.0919396936220788,small,27b,bs_mcb-normalised-self
0.1014761651797331,small,128b,bs_mcb-normalised-self
0.0,small,2m,bs_mcb-task-static
0.0,small,16m,bs_mcb-task-static
0.0,small,53m,bs_mcb-task-static
0.0,small,125m,bs_mcb-task-static
0.0,small,244m,bs_mcb-task-static
0.0,small,422m,bs_mcb-task-static
0.0,small,1b,bs_mcb-task-static
0.0,small,2b,bs_mcb-task-static
0.0,small,4b,bs_mcb-task-static
0.0,small,8b,bs_mcb-task-static
0.0,small,27b,bs_mcb-task-static
0.0,small,128b,bs_mcb-task-static
0.4994864761829376,base,2m,loss
0.5085107088088989,base,16m,loss
0.492628812789917,base,53m,loss
0.5184203386306763,base,125m,loss
0.4964681565761566,base,244m,loss
0.5049442648887634,base,422m,loss
0.5039685964584351,base,1b,loss
0.5144619941711426,base,2b,loss
0.5251150131225586,base,4b,loss
0.5239027738571167,base,8b,loss
0.5278420448303223,base,27b,loss
0.5143490433692932,base,128b,loss
0.7794905956050795,base,2m,roc_auc
0.7717650946446117,base,16m,roc_auc
0.7785507000214855,base,53m,roc_auc
0.7796056021400926,base,125m,roc_auc
0.778755523215205,base,244m,roc_auc
0.7826034282390596,base,422m,roc_auc
0.7802133726201341,base,1b,roc_auc
0.7796195414743624,base,2b,roc_auc
0.755880631430037,base,4b,roc_auc
0.7624980420785791,base,8b,roc_auc
0.761509589183756,base,27b,roc_auc
0.7823979959705007,base,128b,roc_auc
0.5011216343447092,base,2m,roc_auc-absolute-self
0.4759097778537209,base,16m,roc_auc-absolute-self
0.468595492170044,base,53m,roc_auc-absolute-self
0.4601594998589919,base,125m,roc_auc-absolute-self
0.4790569319340869,base,244m,roc_auc-absolute-self
0.4851501344381004,base,422m,roc_auc-absolute-self
0.471797944343455,base,1b,roc_auc-absolute-self
0.445550604257972,base,2b,roc_auc-absolute-self
0.4908407350951504,base,4b,roc_auc-absolute-self
0.4686668720956842,base,8b,roc_auc-absolute-self
0.4817142766815767,base,27b,roc_auc-absolute-self
0.4865792106036955,base,128b,roc_auc-absolute-self
0.5657479964240099,base,2m,roc_auc-normalised-self
0.6259475717407685,base,16m,roc_auc-normalised-self
0.6314662827339648,base,53m,roc_auc-normalised-self
0.6271327272192784,base,125m,roc_auc-normalised-self
0.6323998485680623,base,244m,roc_auc-normalised-self
0.6284988716147961,base,422m,roc_auc-normalised-self
0.6133086651202246,base,1b,roc_auc-normalised-self
0.6411329359920831,base,2b,roc_auc-normalised-self
0.6052243166376258,base,4b,roc_auc-normalised-self
0.6450809525127099,base,8b,roc_auc-normalised-self
0.6297261132055706,base,27b,roc_auc-normalised-self
0.6124113740848466,base,128b,roc_auc-normalised-self
0.7232175280532313,base,2m,roc_auc-task-static
0.7238197782864692,base,16m,roc_auc-task-static
0.7137725210838768,base,53m,roc_auc-task-static
0.7136759800385519,base,125m,roc_auc-task-static
0.7107813647181446,base,244m,roc_auc-task-static
0.7206443000443947,base,422m,roc_auc-task-static
0.7087186304029087,base,1b,roc_auc-task-static
0.7237709373728569,base,2b,roc_auc-task-static
0.6967979897417771,base,4b,roc_auc-task-static
0.7078248157149573,base,8b,roc_auc-task-static
0.7137115920851594,base,27b,roc_auc-task-static
0.7163531782595858,base,128b,roc_auc-task-static
0.0013284088395205,base,2m,bs_mcb
0.0031185132818287,base,16m,bs_mcb
0.0012773798393589,base,53m,bs_mcb
0.0121784888008302,base,125m,bs_mcb
0.002336236520568,base,244m,bs_mcb
0.0013995968305883,base,422m,bs_mcb
0.0022917921380133,base,1b,bs_mcb
0.0030424911252758,base,2b,bs_mcb
0.0038295635216251,base,4b,bs_mcb
0.0041881464935736,base,8b,bs_mcb
0.0029325949761964,base,27b,bs_mcb
0.0029117877408628,base,128b,bs_mcb
0.0976049722931169,base,2m,bs_mcb-absolute-self
0.0858385158759406,base,16m,bs_mcb-absolute-self
0.0798030299709807,base,53m,bs_mcb-absolute-self
0.0804312135247956,base,125m,bs_mcb-absolute-self
0.0849154631288939,base,244m,bs_mcb-absolute-self
0.0952043603607827,base,422m,bs_mcb-absolute-self
0.0869936711866404,base,1b,bs_mcb-absolute-self
0.0975942442117129,base,2b,bs_mcb-absolute-self
0.0834802641787802,base,4b,bs_mcb-absolute-self
0.0815867407428974,base,8b,bs_mcb-absolute-self
0.0779506157992458,base,27b,bs_mcb-absolute-self
0.0828357661226028,base,128b,bs_mcb-absolute-self
0.1877462086314121,base,2m,bs_mcb-normalised-self
0.117699681215713,base,16m,bs_mcb-normalised-self
0.1118331392631485,base,53m,bs_mcb-normalised-self
0.1185887728348425,base,125m,bs_mcb-normalised-self
0.1040762313173954,base,244m,bs_mcb-normalised-self
0.0943987422239938,base,422m,bs_mcb-normalised-self
0.0952539243581137,base,1b,bs_mcb-normalised-self
0.0812878591531372,base,2b,bs_mcb-normalised-self
0.0959697084690252,base,4b,bs_mcb-normalised-self
0.0938872990301286,base,8b,bs_mcb-normalised-self
0.0919396936220788,base,27b,bs_mcb-normalised-self
0.1014761651797331,base,128b,bs_mcb-normalised-self
0.0,base,2m,bs_mcb-task-static
0.0,base,16m,bs_mcb-task-static
0.0,base,53m,bs_mcb-task-static
0.0,base,125m,bs_mcb-task-static
0.0,base,244m,bs_mcb-task-static
0.0,base,422m,bs_mcb-task-static
0.0,base,1b,bs_mcb-task-static
0.0,base,2b,bs_mcb-task-static
0.0,base,4b,bs_mcb-task-static
0.0,base,8b,bs_mcb-task-static
0.0,base,27b,bs_mcb-task-static
0.0,base,128b,bs_mcb-task-static
0.4953334331512451,large,2m,loss
0.4852517247200012,large,16m,loss
0.4862359762191772,large,53m,loss
0.4720595777034759,large,125m,loss
0.484793096780777,large,244m,loss
0.4918721914291382,large,422m,loss
0.4875190854072571,large,1b,loss
0.502862274646759,large,2b,loss
0.5289152264595032,large,4b,loss
0.5025051832199097,large,8b,loss
0.5171213746070862,large,27b,loss
0.5054906606674194,large,128b,loss
0.7904599811381563,large,2m,roc_auc
0.7937785621872121,large,16m,roc_auc
0.8001350587561239,large,53m,roc_auc
0.8064368135142931,large,125m,roc_auc
0.7900117951382309,large,244m,roc_auc
0.8020395982015264,large,422m,roc_auc
0.8029751353319773,large,1b,roc_auc
0.7914730865303875,large,2b,roc_auc
0.7617423947335952,large,4b,roc_auc
0.7881005793397846,large,8b,roc_auc
0.793581415581817,large,27b,roc_auc
0.7907352960658705,large,128b,roc_auc
0.5011216343447092,large,2m,roc_auc-absolute-self
0.4759097778537209,large,16m,roc_auc-absolute-self
0.468595492170044,large,53m,roc_auc-absolute-self
0.4601594998589919,large,125m,roc_auc-absolute-self
0.4790569319340869,large,244m,roc_auc-absolute-self
0.4851501344381004,large,422m,roc_auc-absolute-self
0.471797944343455,large,1b,roc_auc-absolute-self
0.445550604257972,large,2b,roc_auc-absolute-self
0.4908407350951504,large,4b,roc_auc-absolute-self
0.4686668720956842,large,8b,roc_auc-absolute-self
0.4817142766815767,large,27b,roc_auc-absolute-self
0.4865792106036955,large,128b,roc_auc-absolute-self
0.5657479964240099,large,2m,roc_auc-normalised-self
0.6259475717407685,large,16m,roc_auc-normalised-self
0.6314662827339648,large,53m,roc_auc-normalised-self
0.6271327272192784,large,125m,roc_auc-normalised-self
0.6323998485680623,large,244m,roc_auc-normalised-self
0.6284988716147961,large,422m,roc_auc-normalised-self
0.6133086651202246,large,1b,roc_auc-normalised-self
0.6411329359920831,large,2b,roc_auc-normalised-self
0.6052243166376258,large,4b,roc_auc-normalised-self
0.6450809525127099,large,8b,roc_auc-normalised-self
0.6297261132055706,large,27b,roc_auc-normalised-self
0.6124113740848466,large,128b,roc_auc-normalised-self
0.7232175280532313,large,2m,roc_auc-task-static
0.7238197782864692,large,16m,roc_auc-task-static
0.7137725210838768,large,53m,roc_auc-task-static
0.7136759800385519,large,125m,roc_auc-task-static
0.7107813647181446,large,244m,roc_auc-task-static
0.7206443000443947,large,422m,roc_auc-task-static
0.7087186304029087,large,1b,roc_auc-task-static
0.7237709373728569,large,2b,roc_auc-task-static
0.6967979897417771,large,4b,roc_auc-task-static
0.7078248157149573,large,8b,roc_auc-task-static
0.7137115920851594,large,27b,roc_auc-task-static
0.7163531782595858,large,128b,roc_auc-task-static
0.0030003215055347,large,2m,bs_mcb
0.0027385815436695,large,16m,bs_mcb
0.0059611634571019,large,53m,bs_mcb
0.0042240142065017,large,125m,bs_mcb
0.0023942734093914,large,244m,bs_mcb
0.0027351526820776,large,422m,bs_mcb
0.0038838688456999,large,1b,bs_mcb
0.0024996591099032,large,2b,bs_mcb
0.0042456469483246,large,4b,bs_mcb
0.0030208571400314,large,8b,bs_mcb
0.0083307465719443,large,27b,bs_mcb
0.0016461970127184,large,128b,bs_mcb
0.0976049722931169,large,2m,bs_mcb-absolute-self
0.0858385158759406,large,16m,bs_mcb-absolute-self
0.0798030299709807,large,53m,bs_mcb-absolute-self
0.0804312135247956,large,125m,bs_mcb-absolute-self
0.0849154631288939,large,244m,bs_mcb-absolute-self
0.0952043603607827,large,422m,bs_mcb-absolute-self
0.0869936711866404,large,1b,bs_mcb-absolute-self
0.0975942442117129,large,2b,bs_mcb-absolute-self
0.0834802641787802,large,4b,bs_mcb-absolute-self
0.0815867407428974,large,8b,bs_mcb-absolute-self
0.0779506157992458,large,27b,bs_mcb-absolute-self
0.0828357661226028,large,128b,bs_mcb-absolute-self
0.1877462086314121,large,2m,bs_mcb-normalised-self
0.117699681215713,large,16m,bs_mcb-normalised-self
0.1118331392631485,large,53m,bs_mcb-normalised-self
0.1185887728348425,large,125m,bs_mcb-normalised-self
0.1040762313173954,large,244m,bs_mcb-normalised-self
0.0943987422239938,large,422m,bs_mcb-normalised-self
0.0952539243581137,large,1b,bs_mcb-normalised-self
0.0812878591531372,large,2b,bs_mcb-normalised-self
0.0959697084690252,large,4b,bs_mcb-normalised-self
0.0938872990301286,large,8b,bs_mcb-normalised-self
0.0919396936220788,large,27b,bs_mcb-normalised-self
0.1014761651797331,large,128b,bs_mcb-normalised-self
0.0,large,2m,bs_mcb-task-static
0.0,large,16m,bs_mcb-task-static
0.0,large,53m,bs_mcb-task-static
0.0,large,125m,bs_mcb-task-static
0.0,large,244m,bs_mcb-task-static
0.0,large,422m,bs_mcb-task-static
0.0,large,1b,bs_mcb-task-static
0.0,large,2b,bs_mcb-task-static
0.0,large,4b,bs_mcb-task-static
0.0,large,8b,bs_mcb-task-static
0.0,large,27b,bs_mcb-task-static
0.0,large,128b,bs_mcb-task-static
