,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,count
anachronisms,0.6931343674659729,0.5434782608695652,0.6057142857142856,0.652,70.554,9.203,46
analogical_similarity,1.9459037780761719,0.07692307692307693,0.5045836746663717,2.9772,21.832,3.023,65
analytic_entailment,0.6927933096885681,0.6428571428571429,0.5555555555555556,0.2145,65.261,9.323,14
authorship_verification,0.6374328136444092,0.6534090909090909,0.6873949579831933,2.5514,68.983,8.623,176
bbq_lite_json,0.3522467613220215,0.7524752475247525,0.9446376478443865,4.2915,47.069,6.058,202
causal_judgment,0.6931516528129578,0.47368421052631576,0.3698060941828255,0.5628,67.52,8.884,38
cause_and_effect,0.6921305656433105,0.6451612903225806,0.0,0.4539,68.296,8.812,31
cifar10_classification,2.3025784492492676,0.1073170731707317,0.5062569191469769,14.6735,13.971,1.772,205
color,1.8742833137512207,0.34146341463414637,0.49384357295745346,14.9987,13.668,1.733,205
common_morpheme,1.3861485719680786,0.5,0.6986111111111112,0.2732,36.599,7.32,10
conceptual_combinations,1.3861722946166992,0.3333333333333333,0.0,0.5539,37.916,5.417,21
crash_blossom,1.3859453201293945,0.5,0.0,0.2218,36.075,4.509,8
crass_ai,1.3863513469696045,0.2222222222222222,0.4063492063492064,0.2689,33.471,7.438,9
cryobiology_spanish,0.6875694394111633,0.896551724137931,0.0,0.3977,72.922,10.058,29
dark_humor_detection,0.6930903196334839,0.5625,0.6666666666666666,0.2494,64.155,8.019,16
discourse_marker_prediction,1.971861720085144,0.36257309941520466,0.7664022870532005,13.0691,13.084,1.683,171
emoji_movie,1.6095041036605835,0.25,0.0,0.6553,30.521,4.578,20
emojis_emotion_prediction,2.0794548988342285,0.0,0.0,0.109,18.347,9.174,2
empirical_judgments,1.0986034870147705,0.3,0.4284935897435897,0.4244,47.127,7.069,20
english_russian_proverbs,1.3859740495681763,0.5,0.715569153069153,0.4627,34.58,4.322,16
entailed_polarity,0.6907121539115906,0.7333333333333333,0.0,0.4085,73.446,9.793,30
entailed_polarity_hindi,0.6927434206008911,0.5,0.9183673469387755,0.4037,69.365,9.909,28
epistemic_reasoning,0.1587304025888443,0.9560975609756097,0.9905217901113934,2.8193,72.712,9.222,205
evaluating_information_essentiality,1.6094733476638794,0.21428571428571427,0.4021367521367521,0.4597,30.455,4.351,14
fact_checker,0.6931042075157166,0.503030303030303,0.5142521304731119,2.4868,66.351,8.445,165
fantasy_reasoning,0.6925631761550903,0.625,0.40934065934065933,0.5787,69.118,8.64,40
figure_of_speech_detection,2.302595376968384,0.16666666666666666,0.6242424242424242,0.7893,15.203,2.534,12
formal_fallacies_syllogisms_negation,0.6931453943252563,0.5170731707317073,0.5157142857142857,3.1405,65.276,8.279,205
hhh_alignment,0.6860921382904053,0.7727272727272727,0.0,0.6382,68.949,9.402,44
hinglish_toxicity,0.6930758357048035,0.525,0.5538847117794486,0.5757,69.481,8.685,40
human_organs_senses,1.3862216472625732,0.25,0.6071428571428571,0.2315,34.563,4.32,8
hyperbaton,0.4698374569416046,0.824390243902439,0.9472581873571972,3.0171,67.946,8.618,205
implicatures,0.6928520202636719,0.5102040816326531,0.7383333333333334,1.3943,70.285,9.323,98
implicit_relations,3.218789577484131,0.058823529411764705,0.0,3.5667,4.766,0.841,17
intent_recognition,0.10334603488445282,0.9640287769784173,0.9988194562317477,6.7796,20.503,2.655,139
international_phonetic_alphabet_nli,1.0985552072525024,0.48,0.4613315339631129,0.5406,46.248,7.4,25
irony_identification,0.693139374256134,0.55,0.47252747252747257,0.3029,66.033,9.905,20
kanji_ascii,1.5891035795211792,0.631578947368421,0.8120119770224633,1.2431,30.568,4.022,38
key_value_maps,0.6931483149528503,0.5,0.5769230769230769,0.2997,66.742,10.011,20
known_unknowns,0.6932290196418762,0.4444444444444444,0.5714285714285714,0.1452,61.976,13.772,9
language_identification,2.397533655166626,0.0975609756097561,0.5332230340632518,16.3242,12.558,1.593,205
logical_args,1.6093463897705078,0.0,0.0,0.2114,28.383,4.731,6
logical_fallacy_detection,0.5911279916763306,0.6682926829268293,0.8828571428571429,3.0063,68.189,8.648,205
mathematical_induction,0.6931328177452087,0.5714285714285714,0.41666666666666663,0.224,62.489,8.927,14
metaphor_boolean,0.6715965270996094,0.6029411764705882,0.6513098464317977,1.9998,68.006,8.501,136
metaphor_understanding,1.3858405351638794,0.48936170212765956,0.0,1.4196,33.108,4.227,47
misconceptions,0.6931421160697937,0.5227272727272727,0.5020661157024793,0.6119,71.909,9.806,44
misconceptions_russian,0.6925340294837952,0.9,0.0,0.1504,66.509,13.302,10
mnist_ascii,2.302577257156372,0.14634146341463414,0.5702096784016274,14.0726,14.567,1.848,205
moral_permissibility,0.6931017637252808,0.5441176470588235,0.602877070619006,0.9903,68.667,9.088,68
movie_dialog_same_or_different,0.6928525567054749,0.5609756097560976,0.5588687956906502,2.9985,68.368,8.671,205
movie_recommendation,0.25742948055267334,0.92,0.9914488539172084,2.706,36.955,4.804,100
multiemo,1.2955889701843262,0.35858585858585856,0.5148950600081798,5.4903,36.063,4.553,198
navigate,0.6922160983085632,0.595,0.6311722199919712,2.7683,72.247,9.031,200
persian_idioms,1.3860639333724976,0.46153846153846156,0.0,0.3396,38.277,5.889,13
phrase_relatedness,1.385848045349121,0.6,0.8927450980392158,0.5385,37.138,5.571,20
play_dialog_same_or_different,0.6588026881217957,0.6341463414634146,0.43025641025641026,2.9143,70.342,8.921,205
presuppositions_as_nli,1.0777608156204224,0.4013605442176871,0.4793127489349871,3.0388,48.374,6.252,147
riddle_sense,1.6094019412994385,0.3,0.0,0.3542,28.232,5.646,10
salient_translation_error_detection,1.7815375328063965,0.225,0.5412133744616109,8.4652,23.626,2.953,200
sentence_ambiguity,0.6931082606315613,0.6666666666666666,0.7142857142857143,0.1834,65.422,10.904,12
simple_ethical_questions,1.3826611042022705,0.6521739130434783,0.0,0.5914,38.891,5.073,23
snarks,0.6931416392326355,0.5277777777777778,0.4521604938271605,0.495,72.721,10.1,36
social_support,0.7006863355636597,0.776536312849162,0.4935270885736874,4.0161,44.57,5.727,179
sports_understanding,0.693135678768158,0.5532994923857868,0.5733954451345755,2.8091,70.13,8.9,197
strategyqa,0.692091166973114,0.5073170731707317,0.55997715156131,2.996,68.424,8.678,205
suicide_risk,1.3863404989242554,0.125,0.0,0.2231,35.863,4.483,8
swahili_english_proverbs,1.386435627937317,0.16129032258064516,0.0,0.8487,36.525,4.713,31
swedish_to_german_proverbs,1.3857427835464478,0.21428571428571427,0.6311842918985776,0.3687,37.975,5.425,14
symbol_interpretation,1.6019361019134521,0.2676767676767677,0.5963845409111639,7.0179,28.213,3.562,198
temporal_sequences,0.028500856831669807,0.985,0.0,5.5673,35.924,4.491,200
timedial,0.7843716740608215,0.6926829268292682,0.0,4.5047,45.508,5.772,205
understanding_fables,1.608869194984436,0.39473684210526316,0.6332305436794602,1.2895,29.469,3.878,38
unit_interpretation,1.6094697713851929,0.25,0.49065384048356186,0.7039,28.415,4.262,20
vitaminc_fact_verification,0.9429915547370911,0.551219512195122,0.6308654418095507,4.2945,47.735,6.054,205
what_is_the_tao,0.6930922865867615,0.7142857142857143,0.5,0.1289,54.312,7.759,7
which_wiki_edit,1.3863111734390259,0.19298245614035087,0.0,3.1825,35.821,4.713,114
winowhy,0.608306884765625,0.5365853658536586,0.7748426473393095,2.8606,71.663,9.089,205